                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7547,                 4.1466,                  1.533,                0.01441,                      1,                0.01871,                0.00786,                 2.0535,                 4.1566,                 2.3716,                      0,                      0,                      0
                      2,                 1.8884,                 4.6613,                 1.7113,                0.01433,                      1,                0.01826,                 0.0079,                   2.09,                 4.2044,                 2.3077,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                 2.1287,                 4.9323,                 1.7207,                0.01427,                      1,                0.01746,                0.00794,                 2.0524,                 4.1935,                 2.2795,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                 1.9667,                 4.1312,                 1.7671,                0.01431,                      1,                0.01895,                0.00754,                 1.7975,                 4.3341,                  2.228,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                 1.6217,                 3.8388,                 1.4193,                0.01436,                      1,                0.02248,                0.00942,                 1.7595,                  4.276,                 2.1779,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                 1.7948,                 4.1943,                 1.4973,                0.01395,                      1,                0.02772,                0.01346,                 1.8127,                 4.0244,                 2.1409,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                 1.9009,                  4.444,                 1.7662,                0.01346,                      1,                0.06712,                0.02647,                 1.6141,                 4.1441,                  1.977,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                 1.5096,                 4.7432,                 1.0812,                0.01297,                      1,                0.05832,                0.02731,                 1.5037,                 4.1476,                 1.8602,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                 1.4824,                 3.8672,                  1.388,                 0.0124,                      1,                0.05986,                0.03445,                 1.4446,                 3.9921,                   1.77,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.7191,                 4.0752,                 1.6375,                0.01206,                      1,                0.07441,                0.04495,                 1.3953,                 3.8075,                 1.7462,             0.00010248,             0.00010248,             0.00010248
                     11,                 1.6759,                 3.7139,                 1.6919,                0.01236,                      1,                0.10217,                 0.0653,                 1.2796,                 3.8133,                 1.6876,             0.00011263,             0.00011263,             0.00011263
                     12,                 1.4402,                 3.4346,                 1.4061,                0.01206,                      1,                0.16169,                0.10074,                 1.1661,                 3.8148,                 1.6535,             0.00012253,             0.00012253,             0.00012253
                     13,                 1.1548,                 3.4577,                 1.2574,                0.01205,                      1,                0.18242,                0.11111,                 1.0969,                 3.7759,                  1.579,             0.00013218,             0.00013218,             0.00013218
                     14,                 1.4804,                 3.3843,                 1.4811,                0.01227,                      1,                 0.4975,                0.34825,                 1.0444,                  3.693,                 1.5184,             0.00014159,             0.00014159,             0.00014159
                     15,                 1.3766,                 3.3733,                 1.3466,                 0.0125,                      1,                  0.995,                 0.6965,                0.96471,                 3.6749,                  1.454,             0.00015075,             0.00015075,             0.00015075
                     16,                 1.1312,                  2.718,                 1.1788,                0.01282,                      1,                  0.995,                0.74625,                 1.0459,                 3.5473,                 1.3534,             0.00015966,             0.00015966,             0.00015966
                     17,                 1.0143,                 2.4173,                 1.0737,                0.01334,                      1,                  0.995,                0.84575,                0.95697,                 3.5195,                 1.2797,             0.00016832,             0.00016832,             0.00016832
                     18,                 1.2031,                 2.2912,                 1.1204,                0.01334,                      1,                  0.995,                0.84575,                0.95697,                 3.5195,                 1.2797,             0.00017674,             0.00017674,             0.00017674
                     19,                 1.3672,                 2.6634,                 1.3759,                0.01427,                      1,                  0.995,                 0.8955,                0.83765,                 3.5901,                 1.2726,             0.00018491,             0.00018491,             0.00018491
                     20,                 1.3348,                 2.5678,                 1.1547,                0.01427,                      1,                  0.995,                 0.8955,                0.83765,                 3.5901,                 1.2726,             0.00019283,             0.00019283,             0.00019283
                     21,                 1.1214,                 2.5688,                 1.2555,                0.01569,                      1,                  0.995,                0.94525,                0.70679,                 3.6538,                 1.2525,              0.0002005,              0.0002005,              0.0002005
                     22,                 1.1836,                 2.2422,                 1.2576,                0.01569,                      1,                  0.995,                0.94525,                0.70679,                 3.6538,                 1.2525,             0.00020793,             0.00020793,             0.00020793
                     23,                 1.5407,                 2.9162,                 1.5136,                0.01847,                      1,                  0.995,                  0.995,                0.65897,                 3.6521,                 1.2257,             0.00021511,             0.00021511,             0.00021511
                     24,                0.98354,                 1.9104,                 1.0711,                0.01847,                      1,                  0.995,                  0.995,                0.65897,                 3.6521,                 1.2257,             0.00022204,             0.00022204,             0.00022204
                     25,                 1.1558,                 2.2898,                 1.1915,                0.02097,                      1,                  0.995,                0.94525,                 0.6076,                 3.4939,                 1.1751,             0.00022872,             0.00022872,             0.00022872
                     26,                   1.26,                 2.8918,                 1.0161,                0.02097,                      1,                  0.995,                0.94525,                 0.6076,                 3.4939,                 1.1751,             0.00023516,             0.00023516,             0.00023516
