                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9823,                 3.3647,                 2.2296,                0.00667,                      1,                0.05103,                0.02214,                  2.036,                 3.4528,                 2.3688,                      0,                      0,                      0
                      2,                 2.2666,                 2.9656,                 2.1289,                0.00667,                      1,                0.05686,                0.02612,                  1.942,                 3.6193,                 2.2861,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 3.0096,                 4.2382,                 3.1599,                0.00667,                      1,                0.06419,                0.02747,                 1.9778,                 3.4795,                 2.3359,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.2035,                 4.3169,                 2.1748,                0.00667,                      1,                0.05686,                0.02993,                 1.5578,                 3.6934,                 2.2524,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.8719,                 3.1247,                 1.9252,                0.00667,                      1,                0.06439,                0.02976,                 1.5279,                 3.6813,                 2.2327,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.3297,                  3.344,                 2.5777,                0.00667,                      1,                0.08283,                0.03994,                 1.5618,                 3.5016,                 2.1501,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.9236,                 3.4893,                 1.9616,                0.00667,                      1,                0.24192,                0.13736,                 1.3954,                 3.4521,                 1.9674,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.9049,                 3.1305,                 1.9622,                0.00667,                      1,                 0.4475,                0.25517,                 1.3499,                 3.2383,                 1.8262,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.5416,                 3.1635,                 1.8241,                0.00667,                      1,                0.82833,                0.54658,                 1.3397,                 3.0516,                 1.6524,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.4102,                 2.8992,                 1.7563,                0.00667,                      1,                  0.995,                 0.6965,                 1.2299,                 2.9328,                 1.5686,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.4039,                 2.4382,                  1.413,                0.00667,                      1,                  0.995,                0.60946,                 1.3333,                 2.8781,                 1.5422,              0.0001802,              0.0001802,              0.0001802
